SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-5483;4.0;17:48:28;10;W;17:52:39;57;N;17:56:51;10;ENE;55643;1 55643U 23021R   26027.14418478  .00000342  00000-0  36495-4 0  9995;2 55643  70.0006 289.3892 0002950 269.7513  90.3308 14.98327929162565
STARLINK-34979;4.3;17:49:01;10;ENE;17:51:26;16;NNE;17:53:51;10;N;65254;1 65254U 25179V   26027.08197775  .00014531  00000-0  10089-2 0  9991;2 65254  97.6026  71.8895 0001598 124.8788 235.2589 15.05659667 25554
Cosmos 2369;3.8;17:49:29;10;NW;17:55:11;83;SW;18:00:52;10;SE;26069;1 26069U 00006A   26027.59723956 -.00000242  00000-0 -10269-3 0  9993;2 26069  70.9929 246.1821 0009902 154.6175 205.5435 14.13868417604089
Cosmos 1933 Rocket;3.9;17:49:57;10;NNW;17:54:20;70;WSW;17:58:39;10;S;18959;1 18959U 88020B   26027.53893995  .00000835  00000-0  93557-4 0  9997;2 18959  82.5350 208.2313 0015842 186.7830 173.3174 14.85624409 26051
STARLINK-5463;3.8;17:50:13;10;WNW;17:54:28;66;NNE;17:58:42;10;E;55673;1 55673U 23021AX  26027.41098185 -.00000605  00000-0 -42952-4 0  9996;2 55673  69.9993 268.4413 0002721 271.6545  88.4302 14.98327243163102
DMSP B5D2-2;4.1;17:50:28;10;NNE;17:55:48;81;ESE;18:01:05;10;SSW;14506;1 14506U 83113A   26027.39938546  .00000544  00000-0  22813-3 0  9998;2 14506  98.4013 177.4748 0009747 288.1819 126.5300 14.29740382195377
STARLINK-32551;3.8;17:50:29;10;WNW;17:54:43;66;NNE;17:58:57;10;E;62166;1 62166U 24225D   26027.07736114  .00012313  00000-0  10381-2 0  9997;2 62166  70.0013 269.3092 0003177 266.9537  93.1258 14.98320912 63647
STARLINK-6033;3.9;17:50:56;10;SSE;17:54:58;75;WSW;17:59:02;10;NNW;56322;1 56322U 23058F   26027.48407223  .00001933  00000-0  15501-3 0  9994;2 56322  97.6048  29.7948 0002002  80.9695 279.1756 15.01251693151595
STARLINK-35181;4.4;17:51:06;10;ENE;17:53:28;15;NNE;17:55:50;10;N;65666;1 65666U 25211Q   26027.08334457  .00009234  00000-0  64330-3 0  9998;2 65666  97.6027  73.0884 0000509  80.7985 279.3299 15.05653945 20784
STARLINK-5814;3.9;17:51:23;10;SW;17:55:34;64;SE;17:59:43;10;ENE;55777;1 55777U 23028AN  26027.14880866 -.00001299  00000-0 -10114-3 0  9997;2 55777  70.0047 329.0727 0002057 304.5230  55.5735 14.98331992160312
STARLINK-36239;2.5;17:51:30;10;WNW;17:54:56;51;N;17:58:20;10;E;67196;1 67196U 25304E   26027.10002707  .00018524  00000-0  42522-3 0  9995;2 67196  69.9973 282.1686 0004196 282.8501  77.2212 15.42718953  7589
STARLINK-5835;3.9;17:51:37;10;SW;17:55:48;64;SE;17:59:56;10;ENE;55772;1 55772U 23028AH  26027.14896694 -.00003475  00000-0 -28351-3 0  9998;2 55772  70.0025 329.0780 0002462 270.8769  89.2108 14.98346022160312
STARLINK-5987;4.0;17:51:46;10;WNW;17:56:01;74;SW;18:00:14;10;SE;56455;1 56455U 23064H   26027.61102964  .00001255  00000-0  11294-3 0  9999;2 56455  69.9985 247.9961 0002099 266.7574  93.3345 14.98341555149093
STARLINK-5300;4.0;17:52:01;10;WNW;17:56:16;74;SW;18:00:29;10;SE;55676;1 55676U 23021BA  26027.34415805  .00005456  00000-0  46474-3 0  9992;2 55676  69.9990 248.7376 0002703 269.6951  90.3899 14.98324329163586
Cosmos 1821 Rocket;4.3;17:52:31;10;NNW;17:58:43;75;WSW;18:04:48;10;S;17526;1 17526U 87017B   26027.51913150 -.00000008  00000-0 -23555-4 0  9990;2 17526  82.8991 208.2082 0040652 157.9187 202.3733 13.77211696938954
STARLINK-5484;3.8;17:52:50;10;WSW;17:57:05;72;NNW;18:01:15;11;ENE;55628;1 55628U 23021A   26027.14858903 -.00001083  00000-0 -82983-4 0  9997;2 55628  70.0007 309.2766 0003494 258.1924 101.8843 14.98322577162075
STARLINK-34923;4.3;17:52:51;10;ENE;17:55:20;16;NNE;17:57:50;10;N;65247;1 65247U 25179N   26027.35057979  .00007208  00000-0  50317-3 0  9996;2 65247  97.6050  72.1457 0000686 135.1739 224.9543 15.05654808 25646
STARLINK-5988;4.0;17:53:56;10;SSE;17:57:58;72;WSW;18:02:02;10;NNW;56320;1 56320U 23058D   26027.48617104 -.00000745  00000-0 -53514-4 0  9992;2 56320  97.6070  29.7938 0002484  97.4100 262.7407 15.01246514151604
STARLINK-34013;4.3;17:54:01;10;SSW;17:58:02;44;SE;18:01:57;11;ENE;63871;1 63871U 25094H   26027.28452548  .00007414  00000-0  62830-3 0  9998;2 63871  70.0039 338.7518 0002094 269.9697  90.1222 14.98340329 41008
Radarsat Rocket;4.1;17:54:30;10;ESE;18:00:10;55;NE;18:06:06;10;NNW;23711;1 23711U 95059B   26027.53947610 -.00000001  00000-0  83022-4 0  9995;2 23711 100.5130  57.9593 0368061  54.5990  68.3619 13.12849094448459
Terra;3.4;17:54:53;10;ENE;17:57:59;18;NNE;18:01:04;10;NNW;25994;1 25994U 99068A   26027.63986183  .00000798  00000-0  17187-3 0  9993;2 25994  97.9679  82.6249 0001464 344.4635 166.9661 14.60966638389085
STARLINK-35115;4.3;17:54:58;10;ENE;17:57:24;16;NNE;17:59:50;10;N;65665;1 65665U 25211P   26027.35196199  .00014989  00000-0  10413-2 0  9991;2 65665  97.6025  73.3480 0000347  19.3438 340.7802 15.05631139 20826
IRS-P3;4.1;17:56:06;10;SE;18:01:22;65;ENE;18:06:40;10;NNW;23827;1 23827U 96017A   26027.46918637  .00000270  00000-0  13891-3 0  9990;2 23827  99.0403  47.1558 0003192   0.7292 359.3890 14.23685041549845
STARLINK-5874;4.1;17:56:09;10;SSE;18:00:11;70;WSW;18:04:16;10;NNW;56353;1 56353U 23058AN  26027.62105558  .00004475  00000-0  35290-3 0  9991;2 56353  97.6057  30.0765 0000303 120.4416 239.6838 15.01244770151976
STARLINK-32407;3.7;17:56:09;10;WNW;18:00:23;68;NNE;18:04:37;10;ESE;62172;1 62172U 24225K   26027.08137010  .00085101  00000-0  70019-2 0  9994;2 62172  69.9954 269.3164 0003208 239.5640 120.5202 14.98614580 63642
STARLINK-5423;3.7;17:56:28;10;WNW;18:00:43;68;NNE;18:04:56;10;ESE;55670;1 55670U 23021AU  26027.61559094  .00001323  00000-0  11899-3 0  9997;2 55670  70.0045 267.9576 0002889 263.2737  96.8093 14.98205487163137
STARLINK-34964;4.3;17:56:41;10;ENE;17:59:14;17;NNE;18:01:47;10;N;65239;1 65239U 25179E   26027.55272062  .00008478  00000-0  59091-3 0  9999;2 65239  97.6019  72.3371 0001326 142.5045 217.6275 15.05661265 25627
STARLINK-5820;3.9;17:57:30;10;SW;18:01:42;68;SE;18:05:44;11;ENE;55781;1 55781U 23028AS  26027.21973902 -.00000492  00000-0 -33485-4 0  9995;2 55781  70.0015 328.9569 0002759 272.4204  87.6639 14.98327233160320
STARLINK-36270;2.5;17:57:33;10;WNW;18:00:57;51;N;18:04:21;10;E;67200;1 67200U 25304J   26027.10416540  .00076826  00000-0  17348-2 0  9991;2 67200  70.0017 282.1876 0004947 240.8525 119.2162 15.42799973  7584
STARLINK-5959;4.1;17:57:53;10;WNW;18:02:07;70;SW;18:06:20;10;SE;56454;1 56454U 23064G   26027.61519394  .00001621  00000-0  14359-3 0  9999;2 56454  69.9969 248.0109 0002620 264.8903  95.1957 14.98341900149098
NOSS 0 Rocket;4.1;17:58:02;10;W;18:04:17;68;N;18:10:33;10;ENE;5679;1 05679U 71110B   26027.45787355  .00000054  00000-0  92420-4 0  9998;2 05679  69.9974 295.1212 0015358 293.8747  66.0744 13.85667385349866
SeaSat 1;4.4;17:58:38;10;S;18:03:06;34;WSW;18:07:34;10;NW;10967;1 10967U 78064A   26027.47650096  .00000653  00000-0  22102-3 0  9996;2 10967 108.0170  39.0067 0001305 287.6979  72.4024 14.46122338500552
STARLINK-35201;4.3;17:58:45;10;ENE;18:01:15;16;NNE;18:03:46;10;N;65664;1 65664U 25211N   26027.08887745  .00007904  00000-0  55136-3 0  9995;2 65664  97.6043  73.0813 0001202 112.4088 247.7266 15.05653615 20787
STARLINK-5497;3.8;17:58:59;10;WSW;18:03:13;69;NNW;18:07:14;11;ENE;55629;1 55629U 23021B   26027.15276326  .00001767  00000-0  15582-3 0  9999;2 55629  70.0010 309.2971 0002459 272.7834  87.3043 14.98345133162073
Cosmos 1271 Rocket;3.9;17:59:35;10;WSW;18:02:43;31;NW;18:05:51;10;NNE;12465;1 12465U 81046B   26027.49754814  .00016462  00000-0  39807-3 0  9995;2 12465  81.2338 339.1505 0019849 157.2471 202.9656 15.40804081432087
Cosmos 2360 Rocket;2.2;17:59:38;10;WNW;18:05:16;67;NNE;18:10:54;10;ESE;25407;1 25407U 98045B   26027.60593351  .00000011  00000-0  29779-4 0  9993;2 25407  71.0103 267.9732 0005086  87.2900 272.8805 14.16187232421287
STARLINK-34006;4.2;18:00:05;10;SSW;18:04:08;47;SE;18:07:56;12;ENE;63869;1 63869U 25094F   26027.22196910 -.00040430  00000-0 -33891-2 0  9998;2 63869  70.0024 338.9323 0003799 337.6124  22.4869 14.98452456 40993
Cosmos 1486 Rocket;4.4;18:00:12;10;NW;18:05:31;71;SW;18:10:47;10;SSE;14241;1 14241U 83079B   26027.53773177  .00000455  00000-0  16043-3 0  9997;2 14241  74.0563 233.1247 0017760 242.5104 117.4244 14.37495946224294
STARLINK-34023;4.2;18:00:20;10;SSW;18:04:23;47;SE;18:08:12;12;ENE;63875;1 63875U 25094M   26027.55590050  .00085400  00000-0  70923-2 0  9995;2 63875  70.0031 338.0884 0002745 282.4434  77.6418 14.98253156 41047
STARLINK-34959;4.2;18:00:32;10;ENE;18:03:09;17;NE;18:05:46;10;N;65246;1 65246U 25179M   26027.55549474  .00005687  00000-0  39793-3 0  9997;2 65246  97.6044  72.3350 0001228 105.3099 254.8264 15.05658065 25633
STARLINK-36211;2.5;18:00:35;10;WNW;18:04:00;52;N;18:07:22;10;E;67218;1 67218U 25304AC  26027.43035732  .00106588  00000-0  24004-2 0  9992;2 67218  70.0014 280.9037 0003229 265.2327  94.8486 15.42755818  7619
Geosat;4.0;18:00:38;10;NE;18:05:42;87;SE;18:10:44;10;SW;15595;1 15595U 85021A   26027.60861853  .00000486  00000-0  19744-3 0  9991;2 15595 108.0435 148.8551 0002441 272.0888  87.9974 14.39876504142532
STARLINK-5067;4.0;18:00:49;10;W;18:05:00;57;N;18:09:06;11;E;55653;1 55653U 23021AB  26027.41954737  .00001172  00000-0  10603-3 0  9993;2 55653  69.9993 288.3448 0003071 266.2801  93.8007 14.98328267162617
Cosmos 1833 Rocket;3.8;18:00:50;10;SSE;18:05:22;26;ESE;18:09:43;11;ENE;17590;1 17590U 87027B   26027.32973053  .00000221  00000-0  13350-3 0  9995;2 17590  71.0039   3.6476 0005825 208.7020 151.3784 14.17160607  9482
Cosmos 1605 Rocket;4.1;18:00:55;10;NNW;18:07:14;56;ENE;18:13:28;10;SE;15360;1 15360U 84109B   26027.52545226  .00000194  00000-0  18075-3 0  9993;2 15360  82.9362 230.0540 0040072 250.4547 109.2281 13.77044412 74288
Cosmos 1340 Rocket;3.9;18:01:16;10;NNW;18:04:59;48;WSW;18:08:42;10;S;13068;1 13068U 82013B   26027.61895525  .00006227  00000-0  27345-3 0  9991;2 13068  81.1730 208.8874 0022193 320.0624  39.8974 15.21550752398105
ERS-1;4.5;18:01:27;10;SE;18:06:30;72;ENE;18:11:38;10;NNW;21574;1 21574U 91050A   26027.47691216  .00000630  00000-0  21624-3 0  9994;2 21574  98.7898  44.6756 0031376 326.2226  33.6961 14.39412187809808
STARLINK-5550;4.2;18:01:29;10;S;18:05:31;65;WSW;18:09:34;10;NNW;56361;1 56361U 23058AW  26027.49144733  .00000186  00000-0  19016-4 0  9997;2 56361  97.6070  29.9367 0000556 140.3269 219.7996 15.01266036151953
