SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-35837;3.7;05:45:30;45;E;05:45:30;45;E;05:48:32;10;ESE;66840;1 66840U 25280V   26027.43756588  .00000503  00000-0  48954-4 0  9996;2 66840  70.0009  78.5922 0002754 264.9135  95.1710 14.99151011  9894
STARLINK-36236;4.4;05:45:34;25;ENE;05:45:34;25;ENE;05:47:10;10;ENE;67078;1 67078U 25298D   26027.37220679  .00120535  00000-0  27163-2 0  9994;2 67078  69.9981 124.0374 0004075 287.9797  72.0941 15.42674287  6890
Cosmos 1709 Rocket;3.9;05:46:21;70;WNW;05:46:24;70;WNW;05:52:41;10;NNE;16369;1 16369U 85116B   26027.46844934  .00000057  00000-0  42219-4 0  9999;2 16369  82.9388 168.0220 0035894 355.3556  69.5095 13.77174530 14664
SL-08 RB Rocket;4.1;05:48:06;10;NNE;05:52:36;59;ESE;05:53:04;55;SE;26387;1 26387U 00033D   26027.51067782  .00002271  00000-0  35419-3 0  9992;2 26387  97.8228   4.1919 0024262 355.4309   4.6675 14.73660433627676
STARLINK-36200;4.4;05:48:26;26;NE;05:48:26;26;NE;05:50:05;10;ENE;67101;1 67101U 25298AC  26027.43902663  .00064837  00000-0  14711-2 0  9995;2 67101  69.9992 123.8692 0002806 236.9499 123.1414 15.42721685  6902
STARLINK-35715;3.6;05:49:01;48;E;05:49:01;48;E;05:52:10;10;ESE;66841;1 66841U 25280W   26027.10628932 -.00018376  00000-0 -15344-2 0  9996;2 66841  69.9998  79.4415 0002608 241.0542 119.0355 14.98378586  9845
STARLINK-35476;3.5;05:49:42;49;E;05:49:42;49;E;05:52:52;10;ESE;66825;1 66825U 25280E   26026.70591765 -.00205691  00000-0 -17995-1 0  9997;2 66825  70.0001  80.4553 0002274 210.1485 149.9544 14.97784139  9781
STARLINK-34270;4.5;05:49:57;51;ENE;05:49:57;51;ENE;05:53:11;10;ENE;64355;1 64355U 25126M   26027.57846116  .00007070  00000-0  59960-3 0  9990;2 64355  70.0018 138.1208 0002530 267.6513  92.4356 14.98339815 35732
STARLINK-34458;4.5;05:50:11;51;ENE;05:50:11;51;ENE;05:53:26;10;ENE;64360;1 64360U 25126S   26027.57862109  .00008599  00000-0  72732-3 0  9995;2 64360  70.0012 138.1173 0003357 277.7970  82.2808 14.98343548 34523
Cosmos 2082;3.9;05:50:11;56;NNW;05:50:47;59;N;05:56:28;10;ENE;20624;1 20624U 90046A   26027.59233253  .00000136  00000-0  94873-4 0  9997;2 20624  71.0411 106.8082 0017240 267.5621  92.3528 14.14825520841811
Cosmos 1703 Rocket;4.0;05:50:52;57;E;05:50:52;57;E;05:54:55;10;SE;16263;1 16263U 85108B   26027.53032499  .00000864  00000-0  97029-4 0  9991;2 16263  82.5005  39.8414 0020547  58.9494  59.1750 14.85462476149813
Cosmos 1844 Rocket;2.8;05:50:59;63;NNW;05:51:16;64;NNW;05:56:57;10;ENE;17974;1 17974U 87041B   26027.54026596 -.00000027  00000-0  10311-4 0  9992;2 17974  71.0085 119.5878 0016223 268.1539 182.1849 14.17634674  2264
STARLINK-36243;4.3;05:51:32;27;NE;05:51:32;27;NE;05:53:15;10;ENE;67077;1 67077U 25298C   26027.44118279  .00061612  00000-0  13991-2 0  9997;2 67077  70.0018 123.8799 0003812 184.4529 175.6620 15.42710152  6901
STARLINK-5085;4.5;05:52:01;50;E;05:52:01;50;E;05:55:31;10;ENE;55392;1 55392U 23014B   26027.44713879 -.00001491  00000-0 -11723-3 0  9998;2 55392  70.0013 148.3366 0002995 271.7272  88.3544 14.98319146166372
STARLINK-36055;3.5;05:52:43;50;E;05:52:43;50;E;05:55:56;10;ESE;66846;1 66846U 25280AB  26027.50931044  .00002062  00000-0  17683-3 0  9998;2 66846  70.0000  78.4416 0003007 268.6667  91.4148 14.99145420  9915
H-2A R/B;2.1;05:53:50;10;NNE;05:59:09;71;NW;05:59:09;71;NW;27601;1 27601U 02056E   26027.54325319  .00000637  00000-0  23820-3 0  9992;2 27601  98.3129 349.4944 0069074 284.6065 191.4465 14.33727723208216
STARLINK-35763;4.2;05:54:23;28;NE;05:54:23;28;NE;05:56:12;10;ENE;67089;1 67089U 25298Q   26027.37832222  .00104411  00000-0  23469-2 0  9999;2 67089  69.9983 124.0583 0003516 280.9695  79.1091 15.42822056  6898
IDEFIX/ARIANE 42P;3.7;05:54:47;10;NNE;05:58:38;31;NNW;05:58:38;31;NNW;27422;1 27422U 02021B   26027.59227295  .00000558  00000-0  22860-3 0  9999;2 27422  98.5831 326.7006 0011058 312.9658  47.0597 14.30993816238140
Cosmos 614 Rocket;4.0;05:55:05;64;N;05:55:05;64;N;05:59:44;10;NE;6966;1 06966U 73098B   26027.45360751  .00000654  00000-0  19543-3 0  9992;2 06966  74.0557 143.0454 0020033  41.9034 318.3653 14.44792093739132
GEOS 3 Rocket;3.7;05:55:15;10;ESE;06:00:25;62;SSW;06:00:25;62;SSW;7735;1 07735U 75027B   26027.52837906  .00000151  00000-0  13686-3 0  9994;2 07735 114.9731 263.2213 0053013 295.3588  64.2011 14.25549957638429
STARLINK-36061;3.4;05:55:17;53;E;05:55:17;53;E;05:58:35;10;ESE;66847;1 66847U 25280AC  26027.57795456  .00009525  00000-0  80530-3 0  9993;2 66847  70.0004  78.2772 0003194 269.6089  90.4704 14.98313996  9910
STARLINK-34243;4.3;05:55:57;55;ENE;05:55:57;55;ENE;05:59:21;10;ENE;64361;1 64361U 25126T   26027.51587398  .00014973  00000-0  12595-2 0  9997;2 64361  70.0017 138.3033 0003181 278.6986  81.3813 14.98344158 34511
SJ 16-02;3.5;05:56:39;10;SSE;06:00:01;23;ESE;06:03:24;10;NE;41634;1 41634U 16043A   26027.65589998  .00002170  00000-0  21109-3 0  9994;2 41634  75.0023 184.9008 0007093   8.8584 351.2728 14.93056360520168
Cosmos 1844;3.7;05:56:45;63;NW;05:57:05;64;NNW;06:02:38;10;ENE;17973;1 17973U 87041A   26027.52709567 -.00000087  00000-0 -20202-4 0  9992;2 17973  70.8989 121.0011 0028488  83.9786 276.4581 14.14534791997767
Cosmos 1745 Rocket;4.1;05:56:58;55;NW;05:56:58;55;NW;06:02:51;10;NNE;16728;1 16728U 86037B   26027.47531193  .00000090  00000-0  75122-4 0  9998;2 16728  82.9572 163.8726 0031366  40.6087  23.9757 13.77065003993259
STARLINK-36158;4.1;05:57:14;29;NE;05:57:14;29;NE;05:59:07;10;ENE;67080;1 67080U 25298F   26027.38031163  .00097044  00000-0  21940-2 0  9991;2 67080  69.9973 124.0634 0006490 306.1546  53.9035 15.42665437  6891
ALOS;3.2;05:58:02;10;NNE;06:01:01;35;N;06:01:01;35;N;28931;1 28931U 06002A   26027.58675888  .00002579  00000-0  44167-3 0  9991;2 28931  98.1150 343.7717 0002189  78.0164 282.1287 14.69663329 67447
Cosmos 1939 Rocket;3.8;05:59:11;10;NNE;06:02:46;42;E;06:03:00;41;ESE;19046;1 19046U 88032B   26027.57809476  .00008929  00000-0  42163-3 0  9991;2 19046  97.5130  11.0125 0027026  21.4419 338.7941 15.19340809 45863
STARLINK-36202;4.0;06:00:05;30;NE;06:00:05;30;NE;06:02:02;10;ENE;67094;1 67094U 25298V   26027.51197458  .00072940  00000-0  16553-2 0  9993;2 67094  69.9990 123.7234 0002811 261.3955  98.6909 15.42677427  6917
STARLINK-35966;3.2;06:00:55;57;E;06:00:55;57;E;06:04:21;10;ESE;66821;1 66821U 25280A   26026.44702180  .00054745  00000-0  45504-2 0  9997;2 66821  70.0027  81.1589 0003343 281.5355  78.5429 14.98412012  9742
