SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-35768;4.0;05:33:26;37;E;05:33:26;37;E;05:36:05;10;ESE;66832;1 66832U 25280M   26027.82811714  .00002573  00000-0  22330-3 0  9991;2 66832  70.0008  77.5453 0002875 274.8090  85.2740 14.98345741  9950
Cosmos 1844 Rocket;2.8;05:33:42;65;NNW;05:33:42;65;NNW;05:39:19;10;ENE;17974;1 17974U 87041B   26027.69356476 -.00000022  00000-0  12822-4 0  9995;2 17974  71.0085 119.2646 0016219 267.9585 244.5037 14.17634668  2284
Cosmos 2082;4.0;05:35:43;58;NNW;05:36:03;59;N;05:41:44;10;ENE;20624;1 20624U 90046A   26027.66303370  .00000138  00000-0  95707-4 0  9992;2 20624  71.0411 106.6599 0017258 267.4250  92.4897 14.14825572841826
Cosmos 1680 Rocket;4.2;05:38:06;44;N;05:38:06;44;N;05:42:58;10;NE;16012;1 16012U 85079B   26027.67574380  .00000437  00000-0  15374-3 0  9993;2 16012  74.0590 121.0116 0015831 314.6216  45.3645 14.37726289115362
Cosmos 158 Rocket;4.1;05:38:56;66;NE;05:38:56;66;NE;05:43:42;10;ESE;2802;1  2802U 67045B   26027.81439105  .00000404  00000-0  11933-3 0  9990;2  2802  74.0100  64.4255 0062851  81.3577 279.4694 14.45584637 83116
H-2A R/B;3.4;05:41:04;10;NNE;05:43:14;32;NNE;05:43:14;32;NNE;38341;1 38341U 12025E   26027.83382641  .00005641  00000-0  51363-3 0  9998;2 38341  98.4652 351.6451 0046345  86.5986 274.0532 14.94797912742115
Cosmos 1939 Rocket;4.3;05:41:59;10;NNE;05:45:24;32;E;05:45:45;32;ESE;19046;1 19046U 88032B   26027.77567391  .00008956  00000-0  42286-3 0  9996;2 19046  97.5129  11.2089 0026991  20.7581 339.4743 15.19344052 45899
Cosmos 2184 Rocket;4.1;05:42:18;32;S;05:45:15;70;E;05:51:25;10;NNE;21938;1 21938U 92020B   26027.83350598  .00000197  00000-0  18797-3 0  9996;2 21938  82.9311 184.0883 0029942  53.5350 110.6381 13.75542401695516
Cosmos 1844;3.7;05:42:35;65;NNW;05:42:38;65;NNW;05:48:12;10;ENE;17973;1 17973U 87041A   26027.66852662 -.00000081  00000-0 -16788-4 0  9990;2 17973  70.8989 120.7027 0028493  83.7455 276.6911 14.14534794997781
Cosmos 1140 Rocket;4.0;05:42:55;48;SSE;05:43:41;52;ESE;05:48:43;10;NE;11574;1 11574U 79089B   26027.82311630  .00000557  00000-0  17636-3 0  9995;2 11574  74.0689 166.6858 0016077 345.2473  14.8212 14.42322558430217
